,STATE_reporting_date,STATE_County,STATE_FacilityName,STATE_confirmed_cases,STATE_deaths,STATE_status,STATE_CFR,STATE_outbreaks,STATE_county-facName,STATE_CMS_ProvNum,STATE_ReportDate,STATE_MatchingDate
10,2020-05-29,Cook,Abington of Glenview,6,0,Open,0.0,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-05-31
11,2020-06-05,Cook,Abington of Glenview,6,0,Open,0.0,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-06-07
12,2020-06-12,Cook,Abington of Glenview,6,0,Open,0.0,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-06-14
12,2020-06-19,Cook,Abington of Glenview,7,1,Open,0.14285714285714285,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-06-21
13,2020-06-26,Cook,Abington of Glenview,7,1,Open,0.14285714285714285,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-06-28
13,2020-07-03,Cook,Abington of Glenview,12,1,Open,0.08333333333333333,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-07-05
16,2020-07-10,Cook,Abington of Glenview,12,1,Open,0.08333333333333333,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-07-12
17,2020-07-17,Cook,Abington of Glenview,12,1,Open,0.08333333333333333,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-07-19
22,2020-07-24,Cook,Abington of Glenview,12,1,Open,0.08333333333333333,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-07-26
23,2020-07-31,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-08-02
26,2020-08-07,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-08-09
29,2020-08-14,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-08-16
33,2020-08-21,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-08-23
35,2020-08-28,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-08-30
40,2020-09-04,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-09-06
41,2020-09-11,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-09-13
46,2020-09-18,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-09-20
53,2020-09-25,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-09-27
54,2020-10-02,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-10-04
56,2020-10-09,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-10-11
291,2020-10-16,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-10-18
300,2020-10-23,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-10-25
301,2020-10-30,Cook,Abington of Glenview,8,1,Closed,0.125,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-11-01
310,2020-11-06,Cook,Abington of Glenview,8,1,Closed,0.125,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-11-08
310,2020-11-06,Cook,Abington of Glenview,8,1,Closed,0.125,1,COOK-ABINGTON OF GLENVIEW,145683,,2020-11-08
322,2020-11-13,Cook,Abington of Glenview,8,1,Closed,0.125,1,COOK-ABINGTON OF GLENVIEW,145683,2020-11-13T00:00:00,2020-11-15
328,2020-11-20,Cook,Abington of Glenview,8,1,Closed,0.125,1,COOK-ABINGTON OF GLENVIEW,145683,2020-11-20T00:00:00,2020-11-22
329,2020-11-27,Cook,Abington of Glenview,8,1,Closed,0.125,1,COOK-ABINGTON OF GLENVIEW,145683,2020-11-27T00:00:00,2020-11-22
335,2020-12-04,Cook,Abington of Glenview,8,1,Closed,0.125,1,COOK-ABINGTON OF GLENVIEW,145683,2020-12-04T00:00:00,2020-11-22
