County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-12-04,17859,2628,0.14715269611960355,474,368
DuPage,2020-12-04,3899,516,0.13234162605796357,142,95
Lake,2020-12-04,2898,394,0.13595583160800553,110,92
Will,2020-12-04,2200,250,0.11363636363636363,72,43
Kane,2020-12-04,2136,261,0.12219101123595505,92,72
Madison,2020-12-04,1508,183,0.1213527851458886,51,39
St. Clair,2020-12-04,1264,144,0.11392405063291139,46,44
Winnebago,2020-12-04,1039,135,0.12993262752646775,51,46
Kankakee,2020-12-04,858,51,0.05944055944055944,21,16
Peoria,2020-12-04,763,92,0.12057667103538663,26,23
LaSalle,2020-12-04,754,106,0.14058355437665782,19,15
Sangamon,2020-12-04,740,66,0.0891891891891892,26,24
Rock Island,2020-12-04,697,75,0.10760401721664276,23,22
McHenry,2020-12-04,674,109,0.16172106824925817,32,28
Clinton,2020-12-04,560,48,0.08571428571428572,15,13
Tazewell,2020-12-04,560,49,0.0875,29,27
Macon,2020-12-04,531,57,0.10734463276836158,11,9
Marion,2020-12-04,476,27,0.05672268907563025,10,9
Whiteside,2020-12-04,467,69,0.14775160599571735,14,14
Coles,2020-12-04,453,52,0.11479028697571744,12,11
DeKalb,2020-12-04,381,28,0.07349081364829396,14,13
McLean,2020-12-04,379,34,0.08970976253298153,19,17
Knox,2020-12-04,368,53,0.14402173913043478,12,11
Adams,2020-12-04,363,34,0.09366391184573003,11,11
Champaign,2020-12-04,356,26,0.07303370786516854,27,22
Williamson,2020-12-04,303,44,0.14521452145214522,13,12
Boone,2020-12-04,280,18,0.06428571428571428,7,7
Jefferson,2020-12-04,274,46,0.1678832116788321,8,7
Morgan,2020-12-04,236,31,0.13135593220338984,9,8
Iroquois,2020-12-04,229,21,0.09170305676855896,8,8
Lee,2020-12-04,222,18,0.08108108108108109,6,5
Ford,2020-12-04,214,20,0.09345794392523364,8,7
Bureau,2020-12-04,213,21,0.09859154929577464,6,6
Monroe,2020-12-04,208,39,0.1875,5,5
Randolph,2020-12-04,192,11,0.057291666666666664,10,7
Pike,2020-12-04,190,19,0.1,4,4
Ogle,2020-12-04,186,18,0.0967741935483871,9,9
Christian,2020-12-04,185,26,0.14054054054054055,10,10
Jackson,2020-12-04,178,19,0.10674157303370786,8,7
Vermilion,2020-12-04,174,18,0.10344827586206896,8,7
Mason,2020-12-04,165,18,0.10909090909090909,6,6
Franklin,2020-12-04,165,14,0.08484848484848485,7,7
McDonough,2020-12-04,159,37,0.23270440251572327,8,8
Shelby,2020-12-04,154,14,0.09090909090909091,5,4
Livingston,2020-12-04,150,15,0.1,10,9
Richland,2020-12-04,149,19,0.12751677852348994,5,5
Carroll,2020-12-04,145,17,0.11724137931034483,2,2
Jersey,2020-12-04,145,18,0.12413793103448276,5,5
Kendall,2020-12-04,141,24,0.1702127659574468,8,8
Union,2020-12-04,138,20,0.14492753623188406,5,5
Lawrence,2020-12-04,136,8,0.058823529411764705,2,2
Macoupin,2020-12-04,133,6,0.045112781954887216,15,12
Effingham,2020-12-04,128,9,0.0703125,6,6
Fayette,2020-12-04,125,16,0.128,4,4
Perry,2020-12-04,125,20,0.16,4,4
Greene,2020-12-04,124,24,0.1935483870967742,1,1
Clark,2020-12-04,123,18,0.14634146341463414,4,4
Woodford,2020-12-04,122,19,0.1557377049180328,7,7
Cass,2020-12-04,118,20,0.1694915254237288,3,3
Moultrie,2020-12-04,118,7,0.059322033898305086,6,6
Wayne,2020-12-04,108,17,0.1574074074074074,5,5
Stephenson,2020-12-04,103,15,0.14563106796116504,5,4
Jo Daviess,2020-12-04,91,12,0.13186813186813187,4,3
De Witt,2020-12-04,89,15,0.16853932584269662,1,1
Saline,2020-12-04,83,17,0.20481927710843373,2,2
Edgar,2020-12-04,75,7,0.09333333333333334,3,3
Clay,2020-12-04,73,14,0.1917808219178082,3,3
Jasper,2020-12-04,72,8,0.1111111111111111,3,2
Logan,2020-12-04,71,10,0.14084507042253522,6,4
White,2020-12-04,68,7,0.10294117647058823,2,2
Grundy,2020-12-04,59,3,0.05084745762711865,3,3
Cumberland,2020-12-04,56,6,0.10714285714285714,2,2
Crawford,2020-12-04,50,2,0.04,2,2
Henry,2020-12-04,49,2,0.04081632653061224,6,6
Montgomery,2020-12-04,43,4,0.09302325581395349,7,7
Bond,2020-12-04,42,4,0.09523809523809523,2,2
Warren,2020-12-04,37,6,0.16216216216216217,4,3
Wabash,2020-12-04,34,1,0.029411764705882353,2,2
Hancock,2020-12-04,34,5,0.14705882352941177,2,2
Menard,2020-12-04,26,1,0.038461538461538464,1,1
Brown,2020-12-04,25,4,0.16,1,1
Mercer,2020-12-04,24,4,0.16666666666666666,2,2
Fulton,2020-12-04,24,2,0.08333333333333333,3,3
Henderson,2020-12-04,21,0,0.0,2,2
Massac,2020-12-04,17,2,0.11764705882352941,1,1
Douglas,2020-12-04,14,2,0.14285714285714285,3,3
Piatt,2020-12-04,11,5,0.45454545454545453,1,1
Scott,2020-12-04,9,0,0.0,2,2
Johnson,2020-12-04,7,3,0.42857142857142855,1,1
Stark,2020-12-04,4,0,0.0,1,1
Washington,2020-12-04,2,1,0.5,1,1
Calhoun,2020-12-04,2,0,0.0,1,1
